GR-200A-50-CD-0.1B

T(K)	R(ohms)
40	7.519958
39	7.627753
38	7.736162
37	7.84514
36	7.954634
35	8.064602
34	8.175046
33	8.285977
32	8.397454
31	8.509681
30	8.622923
29	8.737538
28	8.853954
27	8.972706
26	9.094431
25	9.219875
24	9.349944
23	9.485712
22	9.628481
21	9.779872
20	9.94185
19.5	10.02756
19	10.1169
18.5	10.21026
18	10.30812
17.5	10.41097
17	10.51938
16.5	10.63398
16	10.75545
15.5	10.88452
15	11.02198
14.5	11.16868
14	11.32549
13.5	11.49337
13	11.67333
12.5	11.86659
12	12.07467
11.5	12.29941
11	12.54309
10.5	12.80894
10	13.10162
9.5	13.42388
9	13.77452
8.5	14.15587
8	14.57814
7.5	15.05136
7	15.58132
6.5	16.17605
6	16.85091
5.8	17.14759
5.6	17.46173
5.4	17.79495
5.2	18.14933
5	18.52734
4.8	18.93178
4.6	19.36608
4.4	19.83425
4.2	20.34142
4	20.89359
3.9	21.18888
3.8	21.49845
3.7	21.82357
3.6	22.16571
3.5	22.5265
3.4	22.90786
3.3	23.31193
3.2	23.74129
3.1	24.1988
3	24.68784
2.9	25.21254
2.8	25.77768
2.7	26.38876
2.6	27.05271
2.5	27.77763
2.4	28.5737
2.3	29.45303
2.2	30.43107
2.1	31.52667
2	32.76447
1.9	34.17514
1.8	35.80044
1.7	37.69451
1.6	39.93557
1.5	42.63156
1.4	45.95344
1.3	50.14121
1.2	55.52757
1.15	58.80988
1.1	62.62876
1.05	67.09192
1	72.32291
0.95	78.49823
0.9	85.84869
0.85	94.67901
0.8	105.4074
0.75	118.6451
0.7	135.3044
0.65	156.8202
0.6	185.5811
0.55	225.6411
0.5	284.1665
0.48	315.2508
0.46	352.2714
0.44	396.4689
0.42	449.295
0.4	512.5107
0.38	588.151
0.36	678.63
0.34	787.0757
0.32	917.6836
0.3	1076.144
0.29	1168.218
0.28	1270.495
0.27	1384.534
0.26	1512.201
0.25	1655.729
0.24	1817.881
0.23	2002.009
0.22	2212.242
0.21	2453.972
0.2	2734.025
0.19	3061.195
0.18	3446.974
0.17	3908.589
0.16	4474.963
0.15	5185.504
0.14	6093.172
0.13	7357.329
0.12	9296.315
0.11	11973.01
0.1	15490.58
