RO-600

T(K)	R(ohms)
20.000	1101.006797
19.000	1104.917876
18.000	1109.557977
17.000	1114.730798
16.000	1120.521
15.000	1126.937939
14.000	1134.514367
13.000	1143.03624
12.000	1152.975291
11.000	1164.608619
10.000	1178.473985
9.000	1195.198392
8.500	1205.146933
8.000	1216.129995
7.500	1228.485402
7.000	1242.567528
6.500	1258.664548
6.000	1277.291435
5.500	1299.122187
5.000	1325.012575
4.500	1356.313236
4.200	1378.41503
4.000	1394.858008
3.500	1443.676875
3.000	1507.578725
2.800	1539.075766
2.600	1575.106777
2.400	1616.776545
2.200	1665.520567
2.000	1723.49489
1.800	1793.329118
1.600	1877.413775
1.400	1985.134787
1.200	2128.041044
1.000	2327.072961
0.980	2351.364732
0.960	2376.621382
0.940	2402.979136
0.920	2430.412555
0.900	2459.064952
0.880	2489.029248
0.860	2520.345037
0.840	2553.112783
0.820	2587.497864
0.800	2623.553954
0.780	2661.399065
0.760	2701.22027
0.740	2743.910869
0.720	2787.40452
0.700	2834.131519
0.680	2883.56669
0.660	2935.959092
0.640	2991.506839
0.620	3050.633254
0.600	3113.723182
0.580	3180.973126
0.560	3253.044468
0.540	3330.350938
0.520	3413.579329
0.500	3503.321545
0.480	3600.47666
0.460	3706.039126
0.440	3821.026063
0.420	3946.935234
0.400	4085.262806
0.380	4238.088291
0.360	4407.882408
0.340	4597.481602
0.320	4810.829883
0.300	5052.659128
0.280	5329.175222
0.260	5648.459251
0.240	6021.573614
0.220	6463.53344
0.200	6996.003209
0.190	7305.500924
0.180	7650.327023
0.170	8037.481753
0.160	8475.00572
0.150	8973.874673
0.140	9548.386718
0.120	11007.27964
0.100	13115.05149
0.090	14571.69257
0.080	16462.2806
0.070	19034.43543
0.060	22791.87215
0.050	29073.01016
