DT-670 with low T calibration (1.572-1.624V)

T(K)	Voltage(V)
300	0.559639
290	0.582637
280	0.605528
273	0.621141
270	0.628302
260	0.650949
250	0.673462
240	0.695834
230	0.718054
220	0.740115
210	0.762007
200	0.78372
190	0.805242
180	0.82656
170	0.847659
160	0.868518
150	0.889114
140	0.909416
130	0.92939
120	0.949
110	0.968209
100	0.986974
90	1.005244
85	1.014181
80	1.022984
77.35	1.027594
75	1.031651
70	1.040183
65	1.048584
60	1.056862
58	1.060141
56	1.063403
54	1.06665
52	1.069881
50	1.073099
48	1.076303
46	1.079492
44	1.082669
42	1.085842
40	1.089024
39	1.090627
38	1.092244
37	1.093878
36	1.095534
35	1.097216
34	1.09893
33	1.100681
32	1.102476
31	1.104324
30	1.106244
29	1.108261
28	1.110421
27	1.11281
26	1.115658
25	1.119448
24	1.125923
23	1.140817
22	1.162797
21	1.181548
20	1.197748
19.5	1.20548
19	1.21311
18.5	1.2207
18	1.2283
17.5	1.23596
17	1.24372
16.5	1.25161
16	1.25967
15.5	1.26794
15	1.27645
14.5	1.28526
14	1.29439
13.5	1.3039
13	1.31381
12.5	1.32416
12	1.33499
11.5	1.34632
11	1.3582
10.5	1.37065
10	1.38373
9.5	1.39751
9	1.41207
8.5	1.42747
8	1.44374
7.5	1.46086
7	1.47868
6.5	1.49698
6	1.51541
5.8	1.52273
5.6	1.53
5.4	1.53721
5.2	1.54436
5	1.55145
4.8	1.55845
4.6	1.56533
4.40	1.57202
4.22	1.57848
4.04	1.58465
3.94	1.58764
3.85	1.59057
3.76	1.59344
3.67	1.59626
3.58	1.59902
3.49	1.60173
3.40	1.60438
3.31	1.60697
3.22	1.60951
3.13	1.612
3.04	1.61445
2.95	1.61687
2.85	1.61928
2.76	1.62166
2.67	1.624
2.4	1.62629
2.3	1.62852
2.2	1.63067
2.1	1.63274
2	1.63472
1.9	1.6366
1.8	1.63837
1.7	1.64003
1.6	1.64157
1.5	1.64299
1.4	1.64429
