RX-102A

T(K)	R(ohms)
40	1049.08
38	1051.23
36	1053.61
34	1056.24
32	1059.2
30	1062.54
29	1064.38
28	1066.35
27	1068.47
26	1070.75
25	1073.21
24	1075.87
23	1078.77
22	1081.92
21	1085.36
20	1089.13
19	1093.29
18	1097.9
17	1103.02
16	1108.78
15	1115.29
14	1122.72
13	1131.3
12	1141.28
11	1153.01
10	1166.92
9	1183.73
8	1204.75
7	1231.55
6	1266.58
5.5	1288.79
5	1315.07
4.8	1327.08
4.6	1340.08
4.4	1354.2
4.2	1369.58
4	1386.41
3.8	1404.9
3.6	1425.32
3.4	1447.99
3.2	1473.34
3	1501.9
2.8	1534.38
2.6	1571.69
2.4	1615.01
2.2	1665.9
2	1726.4
1.8	1799.38
1.6	1889.42
1.4	2005.18
1.2	2162.93
1.15	2211.3
1.1	2263.65
1.05	2320.08
1	2380.77
0.95	2446.94
0.9	2523.01
0.85	2609.1
0.8	2704.6
0.75	2812.42
0.7	2936.57
0.65	3080.73
0.6	3250.53
0.55	3453.5
0.5	3700.52
0.48	3815.03
0.46	3940.33
0.44	4078.03
0.42	4230.02
0.4	4398.49
0.38	4586.35
0.36	4797.02
0.34	5034.68
0.32	5304.98
0.3	5615.03
0.28	5974.48
0.26	6396.63
0.24	6900.16
0.22	7512.68
0.2	8277.06
0.19	8735.86
0.18	9261.11
0.17	9868.6
0.16	10579.6
0.15	11421.6
0.14	12431.6
0.13	13658.2
0.12	15165.5
0.11	17039.1
0.1	19400.5
0.095	20820.3
0.09	22443.7
0.085	24330.7
0.08	26563.6
0.075	29253.3
0.07	32601.3
0.065	37123.9
0.06	43515.8
0.055	52106.7
0.05	63765.1
